sample_id,model,rep,lang1,lang2,similarity
24,earth,0,ru,th,0.7817158699035645
24,earth,1,ru,th,0.6088789105415344
24,earth,2,ru,th,0.7415887117385864
24,earth,3,ru,th,0.7593371868133545
24,earth,4,ru,th,0.7013555765151978
24,fire,0,ru,th,0.7732580304145813
24,fire,1,ru,th,0.773248553276062
24,fire,2,ru,th,0.8225892782211304
24,fire,3,ru,th,0.7537416219711304
24,fire,4,ru,th,0.7687017321586609
24,global,0,ru,th,0.693483829498291
24,global,1,ru,th,0.6917668581008911
24,global,2,ru,th,0.5719990730285645
24,global,3,ru,th,0.69594407081604
24,global,4,ru,th,0.6783112287521362
24,water,0,ru,th,0.7135307788848877
24,water,1,ru,th,0.6753358840942383
24,water,2,ru,th,0.8050879240036011
24,water,3,ru,th,0.7374361753463745
24,water,4,ru,th,0.7140722870826721
89,earth,0,de,th,0.5754636526107788
89,earth,1,de,th,0.6196411848068237
89,earth,2,de,th,0.6009105443954468
89,earth,3,de,th,0.657832145690918
89,earth,4,de,th,0.6457986831665039
89,fire,0,de,th,0.44711336493492126
89,fire,1,de,th,0.7217010855674744
89,fire,2,de,th,0.6426025629043579
89,fire,3,de,th,0.6377004384994507
89,fire,4,de,th,0.4026835560798645
89,global,0,de,th,0.7946640849113464
89,global,1,de,th,0.7535200715065002
89,global,2,de,th,0.7642307877540588
89,global,3,de,th,0.7337905764579773
89,global,4,de,th,0.6330437660217285
89,water,0,de,th,0.6998014450073242
89,water,1,de,th,0.4785205125808716
89,water,2,de,th,0.4526083767414093
89,water,3,de,th,0.6691845655441284
89,water,4,de,th,0.5815348029136658
245,earth,0,ru,zh,0.9062155485153198
245,earth,1,ru,zh,0.9062155485153198
245,earth,2,ru,zh,0.9062155485153198
245,earth,3,ru,zh,0.9062155485153198
245,earth,4,ru,zh,0.9062155485153198
245,fire,0,ru,zh,0.9062155485153198
245,fire,1,ru,zh,0.9062155485153198
245,fire,2,ru,zh,0.9062155485153198
245,fire,3,ru,zh,0.9062155485153198
245,fire,4,ru,zh,0.8729705214500427
245,global,0,ru,zh,0.9127018451690674
245,global,1,ru,zh,0.9127018451690674
245,global,2,ru,zh,0.9127018451690674
245,global,3,ru,zh,0.8365774154663086
245,global,4,ru,zh,0.9084123969078064
245,water,0,ru,zh,0.8622210025787354
245,water,1,ru,zh,0.9062155485153198
245,water,2,ru,zh,0.9062155485153198
245,water,3,ru,zh,0.9062155485153198
245,water,4,ru,zh,0.9062155485153198
276,earth,0,en,th,0.7012394070625305
276,earth,1,en,th,0.5979877710342407
276,earth,2,en,th,0.6977380514144897
276,earth,3,en,th,0.666661262512207
276,earth,4,en,th,0.6886368989944458
276,fire,0,en,th,0.6743067502975464
276,fire,1,en,th,0.6802125573158264
276,fire,2,en,th,0.6567400693893433
276,fire,3,en,th,0.6738901138305664
276,fire,4,en,th,0.6994078159332275
276,global,0,en,th,0.6155611276626587
276,global,1,en,th,0.6289817094802856
276,global,2,en,th,0.6413406133651733
276,global,3,en,th,0.6639400720596313
276,global,4,en,th,0.6945754885673523
276,water,0,en,th,0.6171623468399048
276,water,1,en,th,0.7674988508224487
276,water,2,en,th,0.7277721762657166
276,water,3,en,th,0.6329793930053711
276,water,4,en,th,0.6193699836730957
378,earth,0,de,ru,0.768695592880249
378,earth,1,de,ru,0.804635763168335
378,earth,2,de,ru,0.7496882677078247
